S=1,S=2,S=3,S=4,S=5,t
22.14298869,22.16133459,22.17563197,22.18564217,22.19105823,22
22.21959075,22.23587097,22.24811777,22.25610135,22.25952504,22.1
22.29569693,22.30994389,22.32017523,22.32616977,22.32764096,22.2
22.37331101,22.38561498,22.39392339,22.39802339,22.39763817,22.3
22.44559389,22.45584437,22.46212232,22.46422331,22.46188027,22.4
22.51564225,22.52382397,22.52805883,22.52815068,22.52384205,22.5
22.58355409,22.58965972,22.59184683,22.58992738,22.5836533,22.6
22.65007393,22.65412186,22.65428222,22.65037486,22.64216081,22.7
22.71746456,22.71953235,22.71774555,22.71193162,22.70186035,22.8
22.77900764,22.77899527,22.77516428,22.76734969,22.75532998,22.9
22.84688395,22.84500812,22.83935046,22.82975302,22.81600239,23
22.90789726,22.90403987,22.89644056,22.88494841,22.86935803,23.1
22.96500364,22.95912873,22.94955438,22.9361365,22.91867754,23.2
23.01758956,23.00965395,22.99806404,22.98268238,22.96331905,23.3
23.07341214,23.06355132,23.05008229,23.03287389,23.01174337,23.4
23.12174894,23.10985459,23.09440108,23.07526341,23.05226585,23.5
23.16934351,23.15546209,23.13807211,23.11705443,23.09224,23.6
23.21071219,23.19477757,23.17538754,23.15242861,23.1257382,23.7
23.25327442,23.23538211,23.21408855,23.18928559,23.16081673,23.8
23.29419293,23.27437919,23.2512198,23.22461162,23.19440395,23.9
23.33258984,23.31087248,23.28586647,23.25747346,23.22554819,24
23.36951326,23.34593499,23.31912623,23.28899308,23.25539543,24.1
23.39963714,23.37414344,23.34547946,23.31355555,23.27823645,24.2
23.43417736,23.40692486,23.37656197,23.34300295,23.30611705,24.3
23.47204195,23.44315784,23.41122283,23.3761548,23.33782721,24.4
23.5090938,23.47862518,23.44516549,23.40863596,23.36891401,24.5
23.53734278,23.50520091,23.47012975,23.43205369,23.39085383,24.6
23.56958993,23.5359039,23.49934945,23.45985389,23.41730175,24.7
23.60639066,23.57129116,23.53338291,23.49259591,23.44881789,24.8
23.63717592,23.60061914,23.56131433,23.51919397,23.47414877,24.9
23.6642527,23.62623451,23.5855294,23.54207216,23.49575623,25
23.68712972,23.64764432,23.60553356,23.56073428,23.51314246,25.1
23.706485,23.6655377,23.62202676,23.57589087,23.52702831,25.2
23.7280491,23.68573367,23.64091534,23.59353452,23.54349158,25.3
23.7518243,23.70823055,23.66219362,23.61365542,23.56251827,25.4
