T=1,T=2,T=3,T=4,T=5,t
21.30935158,20.52597312,15.18040342,15.16824639,15.14769786,34.1
21.29139628,20.5097593,15.21943465,15.19314784,15.16368999,34.2
21.27320962,20.49335138,15.25489886,15.21604773,15.17852648,34.3
21.25582148,20.47777883,15.28911207,15.23887695,15.19385099,34.4
21.24560859,20.46918462,15.33328961,15.27066899,15.21721352,34.5
21.2329508,20.45827163,15.37046963,15.29755493,15.23693287,34.6
21.21180734,20.43915996,15.38924394,15.31029884,15.24522923,34.7
21.1857867,20.41536428,15.39676164,15.31465428,15.24690567,34.8
21.15395408,20.38594766,15.39082114,15.30883629,15.24045162,34.9
21.11612083,20.35075783,15.37185852,15.29310779,15.22605249,35
21.08128868,20.3184847,15.35946083,15.28220931,15.21554582,35.1
21.05954801,20.29884886,15.37272481,15.29117818,15.22132799,35.2
21.03246366,20.27407622,15.37399784,15.29113277,15.21993467,35.3
21.00247476,20.24654095,15.36893363,15.28634719,15.21480916,35.4
20.98390248,20.22997488,15.38499289,15.29799507,15.22319463,35.5
20.97514678,20.22287574,15.41774311,15.32317532,15.24299708,35.6
20.9687452,20.21808697,15.45296552,15.35086257,15.26521776,35.7
20.96271531,20.21371832,15.48726363,15.37836799,15.28763803,35.8
20.95545166,20.20817227,15.51740127,15.402967,15.30790299,35.9
20.93946252,20.19425378,15.5294315,15.4137611,15.31704141,36
20.91951355,20.17655518,15.53300259,15.41815052,15.3210778,36.1
20.89109808,20.15073792,15.51900994,15.40915318,15.31433406,36.2
20.85953517,20.12191896,15.49938599,15.39555375,15.30378256,36.3
20.82312366,20.08845601,15.47060994,15.37465196,15.28722444,36.4
20.7908972,20.0589927,15.45183263,15.36069759,15.27599782,36.5
20.76278828,20.03347677,15.44212312,15.35331175,15.26993631,36.6
20.73239505,20.00577604,15.42794697,15.34239125,15.26097479,36.7
20.6926316,19.96912211,15.39522254,15.31724718,15.24050739,36.8
20.65725239,19.93660147,15.37191522,15.29869484,15.2250808,36.9
20.63470915,19.91634381,15.37456623,15.29970723,15.22532475,37
20.61045199,19.89444589,15.3730797,15.29767804,15.22316966,37.1
20.58440944,19.87087305,15.36810634,15.29305937,15.21896099,37.2
20.55708415,19.84607385,15.36028582,15.28627731,15.21301047,37.3
20.52854773,19.8201157,15.34989912,15.27750525,15.20543752,37.4
20.49516541,19.78947787,15.32871967,15.26049787,15.19121333,37.5
20.45853973,19.75568215,15.30016524,15.23774815,15.17229611,37.6
20.43447256,19.73386062,15.2982089,15.23470682,15.16898808,37.7
20.42430188,19.72531483,15.32186456,15.25173614,15.18212593,37.8
20.4194721,19.72190365,15.35362831,15.27568496,15.20122985,37.9
20.41787464,19.72161004,15.38939942,15.30334669,15.22368874,38
20.41479144,19.71992558,15.42086483,15.32807813,15.24398922,38.1
20.40088405,19.70797946,15.431345,15.33691345,15.25152267,38.2
20.38592721,19.6950745,15.43956069,15.34416028,15.25786978,38.3
20.37836922,19.68922422,15.46093178,15.36167552,15.27266777,38.4
20.36828005,19.68102241,15.47710347,15.37545273,15.28458997,38.5
20.3616384,19.67610165,15.49857509,15.39350799,15.30012012,38.6
20.36755884,19.6831166,15.5406259,15.42798417,15.32933464,38.7
20.36213484,19.67939973,15.56150158,15.4462811,15.34547852,38.8
20.35920484,19.67808031,15.58617488,15.46770745,15.36431343,38.9
20.3534616,19.67414694,15.60529716,15.48507581,15.37999423,39
20.36585712,19.68740801,15.65447171,15.5261945,15.41536706,39.1
20.37132012,19.69414591,15.69072147,15.557503,15.44286791,39.2
20.37000008,19.69450358,15.71421308,15.57918096,15.46265958,39.3
20.36825509,19.69445553,15.73605301,15.5996756,15.4815681,39.4
20.36265752,19.69079049,15.75048026,15.61458413,15.49602674,39.5
20.36955056,19.69889731,15.78626372,15.64587557,15.52384176,39.6
20.36991397,19.70089069,15.80992019,15.66807463,15.54441214,39.7
20.3688252,19.70152515,15.83037551,15.68789993,15.56313043,39.8
20.36612147,19.70063938,15.84737936,15.70511931,15.57978608,39.9
20.36164048,19.69807287,15.86067496,15.71949862,15.59416867,40
20.36851909,19.7061773,15.89372991,15.74884614,15.62065143,40.1
20.38059772,19.71919954,15.93476834,15.78458638,15.65249041,40.2
20.39739026,19.73672891,15.98280477,15.82616904,15.68935718,40.3
20.43203524,19.77116336,16.05736998,15.88957095,15.74474581,40.4
20.47026805,19.80905988,16.13564415,15.95659513,15.80354847,40.5
20.50315449,19.84196782,16.20459206,16.01642363,15.85654828,40.6
20.53310803,19.87215759,16.2676861,16.07194194,15.90618639,40.7
20.5521542,19.89213687,16.3118085,16.11297677,15.94410468,40.8
20.56630287,19.90759612,16.34722092,16.1475559,15.97694171,40.9
20.57086204,19.91413358,16.36577097,16.16947863,15.9996668,41
