b=1,b=2,b=3,b=4,b=5,t
18.00191208,18.0611556,22.68979391,22.25672099,21.70453242,22.5
18.0123625,18.06608676,22.7499792,22.32944502,21.79004134,22.6
18.02581616,18.0758926,22.80885881,22.40072632,21.87404479,22.7
18.05052379,18.10332982,22.8688334,22.4727901,21.95853607,22.8
18.05590537,18.10144603,22.92273485,22.53905624,22.0376354,22.9
18.09433725,18.15065891,22.98352699,22.61147589,22.12205514,23
18.11159213,18.16645415,23.03720929,22.67707223,22.20010033,23.1
18.12050632,18.16912243,23.08694272,22.73873586,22.27432481,23.2
18.1200046,18.15705534,23.13211005,22.79584091,22.34410286,23.3
18.13914891,18.17767221,23.18085739,22.85607761,22.4165163,23.4
18.13553579,18.16278887,23.22191218,22.90882659,22.48177287,23.5
18.13559208,18.15637543,23.2623558,22.96077566,22.54604181,23.6
18.11950422,18.12520465,23.2964792,23.00645409,22.60418079,23.7
18.11764502,18.11841238,23.3320603,23.05322829,22.6630404,23.8
18.11852106,18.11555364,23.36614326,23.09826669,22.71995681,23.9
18.11753071,18.11003158,23.39779732,23.14070672,22.77413071,24
18.11998187,18.10911792,23.42814455,23.18157093,22.82648421,24.1
18.10786171,18.0842511,23.45167101,23.21552722,22.87192719,24.2
18.11984722,18.09655085,23.4800223,23.25378113,22.92110082,24.3
18.14801695,18.13138335,23.51203457,23.29525434,22.97301794,24.4
18.17765413,18.16692117,23.54339069,23.33583026,23.0237935,24.5
18.18487525,18.16768931,23.56582878,23.36751363,23.06576513,24.6
18.20752887,18.19289548,23.59255454,23.40314325,23.11126829,24.7
18.2452257,18.23995916,23.62412432,23.44327815,23.16086272,24.8
18.2673542,18.26396394,23.64961791,23.47734243,23.20439744,24.9
18.27997717,18.27466072,23.67140824,23.50765585,23.24410378,25
18.28335137,18.27175586,23.68902898,23.53369711,23.2794219,25.1
18.27875409,18.25845867,23.70316091,23.55616293,23.31104134,25.2
18.2857786,18.26398829,23.71973087,23.58077977,23.34448105,25.3
18.3034001,18.28502224,23.7387395,23.60754478,23.37974244,25.4
18.2986543,18.27088259,23.74849257,23.62498428,23.40562342,25.5
18.28502486,18.24383501,23.75357828,23.63759808,23.42650278,25.6
18.24893498,18.18275926,23.74921075,23.64065299,23.43770657,25.7
18.21671825,18.13229385,23.74421626,23.6428854,23.44784158,25.8
18.18891927,18.09152413,23.73876513,23.64444818,23.45705063,25.9
18.15502664,18.04368834,23.72965034,23.64220436,23.46226053,26
18.07701828,17.92878363,23.70420636,23.62360438,23.45103206,26.1
18.00564469,17.83071284,23.67734005,23.60333124,23.43784189,26.2
17.9399551,17.74548947,23.64911916,23.58145998,23.42277264,26.3
17.90613631,17.7108829,23.62937208,23.56777311,23.4155718,26.4
17.88106351,17.68732219,23.61051298,23.55468787,23.40867467,26.5
17.86769012,17.68123134,23.59560241,23.54542605,23.40541713,26.6
17.87215647,17.69989957,23.58756457,23.54289258,23.40869738,26.7
17.87551907,17.71564779,23.5789056,23.53962974,23.41109053,26.8
17.8755624,17.72545774,23.56864545,23.53466123,23.41162483,26.9
17.87185738,17.72818771,23.55614363,23.52730125,23.40958444,27
17.86372427,17.72466248,23.54186408,23.51811326,23.40560217,27.1
17.85147438,17.71553143,23.5258693,23.50716118,23.39974462,27.2
17.83003923,17.69128188,23.5048475,23.49100452,23.38847659,27.3
17.79785484,17.65219457,23.47915468,23.47012828,23.37237032,27.4
17.77142507,17.62198434,23.45419807,23.4498199,23.35665161,27.5
17.74997501,17.59894017,23.42994236,23.43005221,23.34130212,27.6
17.7235093,17.56842306,23.4027423,23.40722762,23.32274463,27.7
17.68683851,17.52191889,23.36976292,23.37844591,23.29802217,27.8
17.63884856,17.45924364,23.33082018,23.34357648,23.26703886,27.9
17.59882072,17.41009876,23.29339851,23.31008703,23.23729301,28
17.58043548,17.3879235,23.26046714,23.28053099,23.2110733,28.1
17.54461178,17.34394509,23.22173689,23.24538536,23.17932482,28.2
17.53862066,17.34635395,23.19692526,23.22425334,23.16168916,28.3
17.52384043,17.33402644,23.16735827,23.19821595,23.13897403,28.4
17.49827865,17.30557038,23.13263777,23.1669567,23.11091659,28.5
17.45817857,17.2565611,23.09138874,23.12915093,23.0762179,28.6
17.40923472,17.19554366,23.04541924,23.08655771,23.03661671,28.7
17.41759308,17.22080684,23.02640956,23.07107539,23.02437231,28.8
17.47301959,17.30409049,23.03279306,23.08090621,23.03749122,28.9
17.4781132,17.31701648,23.01190648,23.06320828,23.02271581,29
17.51234474,17.36976235,23.00697983,23.06150842,23.02403114,29.1
17.52373792,17.38933172,22.99073362,23.04842443,23.01381711,29.2
17.53084725,17.40337721,22.97356872,23.03449887,23.00277863,29.3
17.49030398,17.347875,22.93560611,22.99987475,22.97093145,29.4
17.4437936,17.28651566,22.89463449,22.9622556,22.93605288,29.5
17.39415085,17.222813,22.8512175,22.92214389,22.89861013,29.6
17.34177886,17.15725102,22.80547865,22.87966447,22.85873145,29.7
17.3018385,17.11308807,22.764586,22.84203927,22.82373441,29.8
17.27611252,17.0906344,22.72960931,22.81030481,22.79464039,29.9
17.2260831,17.0320133,22.68322228,22.76712935,22.753975,30
17.1684942,16.96422868,22.63297546,22.72011267,22.70943526,30.1
17.08935954,16.86405808,22.57110915,22.66133589,22.65293003,30.2
17.07792126,16.86537086,22.53845237,22.63166903,22.62570437,30.3
17.02845639,16.80747531,22.48579219,22.58175445,22.57788693,30.4
16.99544723,16.7747412,22.44025198,22.53893201,22.537195,30.5
16.96148677,16.74136758,22.39455049,22.49599509,22.49640882,30.6
16.97196655,16.76951264,22.37115419,22.47529574,22.47798291,30.7
16.97521266,16.78589415,22.34453469,22.45135021,22.45625496,30.8
16.9845213,16.80926715,22.3217962,22.43127306,22.43840278,30.9
16.97169756,16.80049986,22.28830795,22.40047655,22.40975277,31
16.95803203,16.79191994,22.25576777,22.3707639,22.38227487,31.1
16.90588713,16.72773163,22.20560981,22.32357117,22.33725162,31.2
16.85982421,16.67440106,22.15732881,22.27821414,22.29404971,31.3
16.81761009,16.62727553,22.10978831,22.23352294,22.25146672,31.4
16.78713564,16.59924488,22.06828347,22.19492781,22.21506743,31.5
16.73757982,16.54351466,22.0175608,22.14715659,22.16943618,31.6
16.68908132,16.49096757,21.96703391,22.09960595,22.12404223,31.7
16.61585,16.40427809,21.90545727,22.04116666,22.06776889,31.8
16.50819266,16.27038414,21.82871262,21.96777981,21.99656116,31.9
16.41598358,16.16410587,21.75588721,21.89821416,21.92915714,32
16.3614165,16.11270655,21.69719218,21.84249425,21.87554391,32.1
16.30500995,16.05914321,21.63766511,21.78599973,21.82118844,32.2
16.2701058,16.03471553,21.58762471,21.73885132,21.77616816,32.3
16.24652468,16.02556794,21.54401092,21.69815303,21.73766394,32.4
16.19987995,15.9818741,21.4887738,21.64586274,21.68748761,32.5
16.14225361,15.92070469,21.42689812,21.58685682,21.63048912,32.6
16.10986603,15.89488684,21.37638704,21.5390254,21.58463867,32.7
16.09081943,15.88777236,21.3336872,21.49902675,21.54669701,32.8
16.07184702,15.87796327,21.29052394,21.45843954,21.50807604,32.9
16.03967254,15.84952127,21.24153321,21.41215331,21.46378996,33
16.0077039,15.82213733,21.19356787,21.36697829,21.4206786,33.1
15.96636467,15.77958576,21.13995285,21.31608205,21.3717515,33.2
15.90216918,15.70192291,21.07307838,21.25185061,21.30932995,33.3
15.8468451,15.63878472,21.0096029,21.1909335,21.25020323,33.4
15.7991552,15.58728106,20.94928569,21.13309471,21.19413394,33.5
15.7340973,15.51158396,20.88011232,21.06651306,21.12932673,33.6
15.652999,15.41444543,20.80247919,20.99158009,21.0561762,33.7
15.59787675,15.35650974,20.73645272,20.92805438,20.9944108,33.8
15.5703186,15.33520092,20.68334416,20.87709672,20.94509206,33.9
15.54889492,15.32027419,20.63325259,20.82901321,20.89857626,34
15.55642015,15.34442008,20.60154067,20.79924799,20.87047337,34.1
15.58465733,15.39393489,20.58406752,20.78363542,20.8565572,34.2
15.61029777,15.43853495,20.56636999,20.76783518,20.84246431,34.3
15.63680937,15.48137501,20.54956739,20.7527938,20.82903555,34.4
15.67221947,15.53443143,20.53982205,20.74477053,20.82263519,34.5
15.70287253,15.5792322,20.52774058,20.7343715,20.81380573,34.6
15.71746047,15.60213036,20.50727171,20.71578422,20.79685171,34.7
15.72311048,15.61166751,20.48204339,20.69247264,20.77515535,34.8
15.7160235,15.60432347,20.45102183,20.66359142,20.74798859,34.9
15.69801021,15.58149853,20.41412227,20.62890576,20.71501895,35
15.68606449,15.5672511,20.38023033,20.59710162,20.68486916,35.1
15.69579113,15.58333075,20.35921482,20.57796964,20.66734655,35.2
15.69520231,15.58484139,20.33294375,20.55369499,20.64471233,35.3
15.69034045,15.57927044,20.30390023,20.5265876,20.61918214,35.4
15.70133709,15.59751685,20.28594418,20.51058954,20.60484909,35.5
15.72638567,15.63459058,20.27759884,20.50411826,20.60004486,35.6
15.75465864,15.67433365,20.27162767,20.49992107,20.59745585,35.7
15.78407674,15.71321348,20.26614951,20.49604803,20.59507483,35.8
15.809418,15.74652926,20.25941926,20.49103524,20.59161113,35.9
15.81908737,15.75802441,20.2441148,20.47764332,20.57983174,36
15.82193935,15.75957335,20.22496203,20.46043578,20.56422718,36.1
15.80929369,15.73975834,20.19748959,20.43510616,20.54056815,36.2
15.79231834,15.71407499,20.16698862,20.4067204,20.5138135,36.3
15.76721627,15.6778345,20.13174853,20.37366809,20.48240659,36.4
15.75030365,15.65464417,20.10062607,20.34460696,20.45494067,36.5
15.74140481,15.64307876,20.07357976,20.31946575,20.4313225,36.6
