a=0.5,a=1.0,a=1.5,a=2.0,t
17.11764816,22.81417274,21.74599584,20.88965614,31.1
17.07983646,22.78810017,21.69492708,20.83423125,31.2
17.04418255,22.76220763,21.64646062,20.78352532,31.3
17.00977218,22.7358358,21.59911257,20.73502691,31.4
16.98092823,22.71242907,21.55946103,20.69862527,31.5
16.94191538,22.68228676,21.50872222,20.64576234,31.6
16.90268552,22.65135044,21.45852788,20.59437341,31.7
16.84963506,22.61234674,21.39522791,20.52408207,31.8
16.77649014,22.56242103,21.31397152,20.42825359,31.9
16.70889713,22.51375226,21.23810563,20.34254381,32
16.66004465,22.47320797,21.17976034,20.28409789,32.1
16.60954213,22.43121059,21.12072445,20.22512473,32.2
16.57037489,22.39465527,21.07333127,20.18354728,32.3
16.53751968,22.36169819,21.033843,20.15341767,32.4
16.49223164,22.32036627,20.98027807,20.10204521,32.5
16.44054576,22.27384776,20.91873394,20.03893221,32.6
16.40237117,22.23419275,20.87104437,19.99657678,32.7
16.37175836,22.19921936,20.83289146,19.96807975,32.8
16.34170167,22.16347675,20.79399574,19.93773395,32.9
16.30475623,22.12327509,20.74814662,19.89685149,33
16.26799743,22.08322089,20.70367357,19.85798764,33.1
16.22615616,22.03881277,20.65231281,19.80867748,33.2
16.17144395,21.98478094,20.58490378,19.73566117,33.3
16.12086292,21.93233174,20.52185369,19.67001298,33.4
16.07406588,21.88139362,20.46278721,19.61080858,33.5
16.01716412,21.82372828,20.39328612,19.53674374,33.6
15.95030542,21.75948723,20.31394689,19.44917754,33.7
15.89708283,21.70248676,20.24888017,19.3837213,33.8
15.85940306,21.65396086,20.19921949,19.34072131,33.9
15.82566782,21.60719481,20.15302682,19.30222192,34
15.80881986,21.57306651,20.12874653,19.29489399,34.1
15.80460544,21.54899189,20.12108333,19.31004335,34.2
15.80027776,21.52483716,20.11277919,19.32262284,34.3
15.79763597,21.50144961,20.10500507,19.33422243,34.4
15.80091449,21.48319795,20.10523787,19.35592388,34.5
15.80288962,21.46345911,20.10221662,19.37127877,34.6
15.7976299,21.43783027,20.08898758,19.37063,34.7
15.78854336,21.40885748,20.06981024,19.36039604,34.8
15.77353686,21.37570478,20.0436975,19.33964413,34.9
15.75319157,21.33829491,20.01045579,19.30819457,35
15.73604876,21.3028816,19.98069768,19.2819423,35.1
15.73030101,21.27653879,19.96618621,19.27799587,35.2
15.71995827,21.24647629,19.94524293,19.2639928,35.3
15.70781348,21.21444926,19.92074857,19.24428847,35.4
